immigrant,female,black,hispanic,white,mixedrace,urban1997,rural1997,never_married,married,separated,divorced,widowed,ever_in_gang,victim_breakin_lt12yrs,victim_bully_lt12yrs,victim_shooting_lt12yrs,victim_breakin_12to18,victim_bully_12to18,victim_shooting_12to18,VictViolentCrime,ms_suspension,hs_suspension,hs_grad,college_degree,ged,special_education_history,bilingual_education_history,gifted_education_history,veteran,age,days_ms_suspension,days_hs_suspension,number_grades_repeated,number_grades_skipped,years_education_completed,highest_degree,SAT_math_score_2007,SAT_verbal_score_2007,ACT_score_2007,number_schools_attended,parent_expectation_in_jail_by20,age_first_incarcerated,income1996IA,income1997IA,income1998IA,income1999IA,income2000IA,income2001IA,income2002IA,income2003IA,income2004IA,income2005IA,income2006IA,income2007IA,income2008IA,income2009IA,income2010IA,income2012IA,income2014IA,income2016IA,income_20,income_25,income_30,income_35,assets_20,assets_25,assets_30,assets_35,debts_20,debts_25,debts_30,debts_35,total_n_incarcerated,total_months_incarcerated,months_longest_incarceration,months_first_incarceration,number_jobs_since20,Incarcerated,RelativeDied,Homeless,HHHospital,HHJail,NumSchoolsAttended,EverSmoke,EverArrested
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,2,2,0,16,0,0,0,0,15,3,V,V,V,2,0,V,752.76,.,.,.,14595,.,.,18330,.,.,.,.,.,.,.,24149.999999999996,21861.45,.,9730,.,.,19695,.,.,7089,11120,0,100,28570,72500,0,0,V,V,6,0,1,0,0,0,2,1,0
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,16,0,0,0,0,17,4,6,4,V,2,0,V,.,.,.,.,.,.,.,.,17399,24354,.,59856,54612,68880,66000,60374.99999999999,78477,68200,.,18450,55000,70700,0,.,19043,83400,0,800,11250,7500,0,0,V,V,4,0,0,0,0,0,2,0,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,I,I,I,0,15,0,0,0,0,16,4,V,V,V,2,D,V,.,.,.,.,.,.,28728,54990,34798,56826,38972.5,67338,68265,61992,72600,78487.5,77355.90000000001,82500,.,29750,60500,75000,0,27.2,11560,81600,0,0,0,0,0,0,V,V,6,0,0,0,0,0,2,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,V,V,V,0,16,0,0,0,0,16,4,3,3,V,2,0,V,.,.,.,6696,.,.,22982.399999999998,3306.7319999999995,17399,.,6547.38,.,.,.,.,18112.5,14529.456000000002,.,.,.,.,13089.6,4.17,.,0,10425,0,0,0,0,0,0,V,V,9,0,1,0,0,0,2,1,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,V,V,V,0,12,0,0,V,V,13,2,1,2,V,2,V,V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,0,V,V,V,0,0,V,V,0,0,1,0,0,0,2,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,0,13,0,0,V,V,17,4,5,6,V,V,V,V,.,.,.,.,6255,.,1915.1999999999998,.,.,16236,24942.4,97266,.,55104,59400,48299.99999999999,50449.50000000001,88000,.,.,42000,.,0,7800,0,.,0,0,600,V,0,0,V,V,15,0,1,0,0,0,.,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,V,V,V,0,13,0,0,V,V,17,4,4,3,V,2,V,V,.,.,.,.,.,.,9576,.,.,.,18706.8,.,27306,.,.,.,.,.,.,22200,.,.,0,130,.,.,0,0,V,V,0,0,V,V,4,0,0,0,0,0,2,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,0,15,0,1,1,0,13,1,V,V,V,2,0,V,.,17388,.,.,.,.,9576,3666,4349.75,4383.72,4676.7,29928,38228.4,35817.6,.,.,2802.7500000000005,.,.,3570,.,.,0,0,0,0,0,0,0,0,0,0,V,V,I,0,1,0,0,0,2,0,0
1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,V,V,V,0,15,0,0,1,0,13,2,V,V,V,2,0,V,.,.,.,.,.,.,.,129615.096,.,45460.8,43649.200000000004,44892,.,.,.,.,.,.,.,33320,.,.,0,12240,0,680,0,0,1750,15000,0,0,V,V,4,0,1,0,0,1,2,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,12,0,0,I,I,13,3,V,V,V,4,V,V,.,.,.,.,.,.,19152,.,.,21106.8,10912.300000000001,7482,.,.,.,1207.5,.,22000,.,.,.,.,0,0,635,.,1200,0,0,V,0,0,V,V,4,0,0,0,0,0,4,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,.,0,1,V,V,V,0,12,5,6,I,I,.,1,1,I,V,4,V,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,.,0,3000,0,V,2,37,36,1,2,1,1,0,0,0,4,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,V,V,V,0,14,0,0,0,0,14,2,4,4,6,2,V,V,.,.,.,2232,.,.,.,.,13049.250000000002,.,.,29928,28671.3,28929.6,30360,30187.499999999996,21300.9,12650.000000000002,.,23200,26250,.,133,133,5.32,199.5,0,10000,16000,11000,0,0,V,V,9,0,0,0,0,0,2,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,V,V,V,0,13,0,0,0,0,16,4,3,3,I,2,V,V,.,1207.5,.,.,.,.,32175.36,27495,38277.8,40590,38972.5,37410,38228.4,61992,73920,61582.49999999999,68387.1,81400,19500,31080,53550,.,0,59150,53300,.,0,9000,0,V,0,0,V,V,5,0,1,0,0,0,2,1,0
0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,I,0,14,0,0,0,0,12,2,V,V,V,4,V,V,.,.,.,.,.,.,28728,47658,.,38966.4,41310.85,41899.200000000004,39047.58,45460.8,39600,45885,14749.1916,68200,19950,32480,39900,.,1330,.,3325,.,18000,1000,0,17500,0,0,V,V,3,0,0,0,0,0,4,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,V,V,V,0,13,6,1,I,I,13,1,V,V,V,3,V,V,.,.,.,1785.6000000000001,1459.5,.,.,.,.,16236,15589,20949.600000000002,38228.4,35817.6,31680,27772.499999999996,31390.800000000003,29700.000000000004,.,31080,24150,.,65,650,260,.,0,0,4000,V,0,0,V,V,4,0,1,1,0,0,3,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2,2,2,0,16,0,0,0,0,14,2,V,V,I,2,0,V,.,11592,.,.,.,.,34473.6,.,.,24354,28060.2,37410,38228.4,33062.4,36960,38640,39238.5,44000,.,18450,30800,35350,0,.,1390,14595,0,0,0,0,0,0,V,V,8,0,1,0,0,0,2,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,I,I,I,0,13,0,0,I,I,14,2,V,V,V,3,V,V,.,.,.,.,.,.,95.75999999999999,18330,.,.,43649.200000000004,22446,36863.1,44083.2,33000,36225,40359.600000000006,49500.00000000001,13000,29970,31500,.,0,13000,23790,.,2000,5000,5200,V,0,0,V,V,7,0,1,0,0,0,3,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,2,0,12,0,0,I,I,12,2,V,V,V,2,V,V,.,.,934.9200000000001,.,.,.,.,36660,40017.700000000004,32472,40531.4,50877.6,.,41328,34320,33810,34754.100000000006,.,29210,33600,31310,.,0,0,0,.,0,0,0,V,0,0,V,V,2,0,0,0,0,0,2,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,V,V,V,0,12,29,13,I,I,16,3,I,I,V,I,V,V,.,.,.,.,.,.,.,.,15659.1,9741.6,16524.34,14964,10922.4,13776,33000,42262.5,42601.8,35200,11430,11200,38380,.,0,2159,15240,.,0,13200,23500,V,0,0,V,V,4,0,0,0,0,0,.,0,0
0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,V,V,V,0,15,0,0,0,0,16,4,4,2,V,2,0,V,.,1932.0000000000002,1701.5544000000002,.,.,.,.,.,.,28231.156800000004,.,21997.08,42324.3,56481.6,53005.92,44677.5,.,55346.50000000001,.,.,44171.6,50315,0,204,272,9520,0,800,7500,21350,0,0,V,V,3,0,0,0,0,0,2,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,2,1,0,14,0,0,0,I,18,5,5,5,V,2,V,V,.,.,.,669.6,1042.5,7996.8,17236.8,14664,24358.600000000002,40590,7794.5,7482,102397.5,103320,88440,84525,28027.500000000004,44000,11970,5800,73500,.,2793,21945,102410,86450,0,19000,0,25000,0,0,V,V,8,0,0,0,0,0,2,0,0
1,0,1,0,0,0,1,0,1,0,0,0,0,R,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,14,0,2,I,I,12,2,V,V,V,2,V,V,.,.,.,.,.,.,.,.,.,487.08000000000004,24942.4,7182.72,.,2755.2,.,3622.4999999999995,.,33000,.,5568,3150,.,0,0,0,0,0,0,0,0,0,0,V,V,3,0,0,0,0,0,2,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,V,V,V,0,13,2,0,I,I,15,2,V,V,V,4,V,V,.,.,.,.,.,.,.,7332,19138.9,22730.4,.,76316.40000000001,72360.9,85411.2,92400,92977.5,72871.5,111100.00000000001,5200,58830,80850,.,0,.,.,.,0,12500,I,V,0,0,V,V,5,0,1,0,1,0,4,1,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,I,I,I,0,15,0,0,I,I,15,2,3,4,5,2,0,V,752.76,.,8267.030100000002,2546.712,14595,.,7277.759999999999,47658,34798,32472,24942.4,56863.200000000004,58707.9,.,.,21735,.,.,.,19040,.,.,0,1360,0,14960,0,0,0,6450,0,0,V,V,17,0,1,0,1,0,2,0,0
